Source,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Col_33,Col_34,Col_35
UPCOM,ACE,ACE,36.50,41.90,31.10,"18,00",36.503036.602036.9030,36.50,30,36.60,20,36.90,30,38.7090+2.20+6.03%,38.70,90,+2.20,+6.03%,38.501038.601038.7010,38.50,10,38.60,10,38.70,10,39.9037.5336.70,39.90,37.53,36.70,"7,8016,80","7,80","16,80",,,
UPCOM,ACM,ACM,0.80,0.90,0.70,"934,70","0.701,204,70",0.70,"1,204,70",0.8010,0.80,10,"0.80749,900.902,221,70",0.80,"749,90",0.90,"2,221,70",0.800.770.70,0.80,0.77,0.70,"1,204,702,971,60","1,204,70","2,971,60","138,10",13,"8,10",,,,,,,,
UPCOM,ACS,ACS,6.00,6.90,5.10,"5.10105.302,006.006,30",5.10,10,5.30,"2,00",6.00,"6,30",6.80706.9020,6.80,70,6.90,20,"8,4090","8,40",90,,,,,,,,,,,,,,,
UPCOM,ACV,ACV,107.50,123.60,91.40,"353,90","106.0035,00106.1010,80106.2020",106.00,"35,00",106.10,"10,80",106.20,20,106.2040-1.30-1.21%,106.20,40,-1.30,-1.21%,"106.407,00106.501,80106.601,40",106.40,"7,00",106.50,"1,80",106.60,"1,40",107.70106.53106.10,107.70,106.53,106.10,"172,80140,40","172,80","140,40","19,82101,30","19,82","101,30"
UPCOM,AFX,AFX,7.60,8.70,6.50,"20,90","7.303,107.407,407.5012,10",7.30,"3,10",7.40,"7,40",7.50,"12,10",7.6050,7.60,50,"7.7020,807.808,907.9010,20",7.70,"20,80",7.80,"8,90",7.90,"10,20",7.807.657.60,7.80,7.65,7.60,"27,80126,10","27,80","126,10",,,,,
UPCOM,AG1,AG1,14.80,17.00,12.60,"2,80",12.903013.403014.0030,12.90,30,13.40,30,14.00,30,14.8010,14.80,10,"14.803,0015.004,8016.206,00",14.80,"3,00",15.00,"4,80",16.20,"6,00",14.8014.6414.60,14.80,14.64,14.60,"1,2015,80","1,20","15,80",,,,,
UPCOM,AGF,AGF,2.10,2.40,1.80,"8,40","2.002,502.105,002.201,60",2.00,"2,50",2.10,"5,00",2.20,"1,60",2.2010+0.10+4.76%,2.20,10,+0.10,+4.76%,2.4080,2.40,80,2.302.172.00,2.30,2.17,2.00,"17,3080","17,30",80,,,,,,,
UPCOM,AGP,AGP,41.60,47.80,35.40,90,39.902040.002040.1020,39.90,20,40.00,20,40.10,20,41.6010,41.60,10,"41.704,0042.001,2042.2050",41.70,"4,00",42.00,"1,20",42.20,50,41.6040.4939.90,41.60,40.49,39.90,"2,108,00","2,10","8,00",,,,,
UPCOM,AGX,AGX,79.90,91.80,68.00,"3,30","80.002,7080.203082.0020",80.00,"2,70",80.20,30,82.00,20,82.0010+2.10+2.63%,82.00,10,+2.10,+2.63%,"84.901085.004,2090.0020",84.90,10,85.00,"4,20",90.00,20,82.0080.2080.00,82.00,80.20,80.00,"5,504,50","5,50","4,50",,,
UPCOM,AIC,AIC,11.70,13.40,10.00,"1,90","11.105011.204011.301,70",11.10,50,11.20,40,11.30,"1,70",11.2070-0.50-4.27%,11.20,70,-0.50,-4.27%,"12.202,0012.502,0012.603,00",12.20,"2,00",12.50,"2,00",12.60,"3,00",12.0011.6911.20,12.00,11.69,11.20,"3,807,50","3,80","7,50","1,00","1,00",
UPCOM,AIG,AIG,46.00,52.90,39.10,"15,70","45.108045.501045.602,20",45.10,80,45.50,10,45.60,"2,20",45.6030-0.40-0.87%,45.60,30,-0.40,-0.87%,"46.202,5046.301,0046.401,40",46.20,"2,50",46.30,"1,00",46.40,"1,40",46.1045.9045.60,46.10,45.90,45.60,"9,3029,20","9,30","29,20",,,
UPCOM,ALV,ALV,7.50,8.60,6.40,"20,60","6.707,406.807,206.903,50",6.70,"7,40",6.80,"7,20",6.90,"3,50",7.2010-0.30-4.00%,7.20,10,-0.30,-4.00%,"7.2010,107.403,507.502,90",7.20,"10,10",7.40,"3,50",7.50,"2,90",7.507.096.90,7.50,7.09,6.90,"28,5076,70","28,50","76,70",,,
UPCOM,AMD,AMD,1.10,1.50,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
